+-----------------------------------------+----------------------+---------------------+---------------------+
|                  Params                 | Mean Reciprocal Rank |  Average Precision  |    Recall By User   |
+-----------------------------------------+----------------------+---------------------+---------------------+
|  512_10_0.05_0.001_5000_May03_11-28-34  | 0.18547312418079154  | 0.11533358663438385 | 0.09552221799238743 |
|  512_10_0.05_0.001_20000_May03_11-36-51 |  0.255275207976636   | 0.20606220396949088 | 0.17730070244409293 |
|  512_10_0.05_0.001_50000_May03_11-53-43 | 0.33841060321057087  | 0.28803097014698403 | 0.27620167964383413 |
|   512_10_0.1_0.001_5000_May03_12-29-39  | 0.19208348866855998  | 0.11629845350856571 | 0.09146071269263303 |
|  512_10_0.1_0.001_20000_May03_12-38-41  | 0.22400513597214428  | 0.15257993019536362 | 0.13367158005032087 |
|  512_10_0.1_0.001_50000_May03_12-56-54  |  0.3246469492881798  |  0.2771178156376647 |  0.2630192220120852 |
|   512_10_0.5_0.001_5000_May03_13-32-52  |  0.1596760158481123  | 0.08842740300076601 | 0.07589988194555766 |
|  512_10_0.5_0.001_20000_May03_13-42-25  |  0.2514782561394621  | 0.18696397969806258 | 0.17722666061818385 |
|  512_10_0.5_0.001_50000_May03_13-58-55  | 0.27409741262351034  | 0.22257040328479588 | 0.22709676988800775 |
|    512_10_1_0.001_5000_May03_14-36-13   | 0.16232878750533697  | 0.10126285330940121 | 0.08291388732568028 |
|   512_10_1_0.001_20000_May03_14-45-50   |  0.2104202205079299  | 0.14403154180314012 | 0.13075275252225488 |
|   512_10_1_0.001_50000_May03_15-03-45   |  0.2660142775652644  | 0.20393401147656948 | 0.19536061766799184 |
|  1024_10_0.05_0.001_5000_May03_15-38-21 |  0.1937003517407184  | 0.11166350824742845 | 0.08809273416680699 |
| 1024_10_0.05_0.001_20000_May03_15-49-00 |  0.2219083185928359  | 0.14494884605246836 |  0.1351894709504139 |
| 1024_10_0.05_0.001_50000_May03_16-06-12 |  0.3397704318846112  |  0.2852790155845186 | 0.26795437745572265 |
|  1024_10_0.1_0.001_5000_May03_16-43-59  | 0.18429577911536563  | 0.10925224245697546 | 0.08881744096867607 |
|  1024_10_0.1_0.001_20000_May03_16-54-36 |  0.2771254209458871  | 0.21530431329506405 |  0.194551041295575  |
|  1024_10_0.1_0.001_50000_May03_17-14-09 | 0.32369850418866153  | 0.31102796771211233 | 0.28053372714180025 |
|  1024_10_0.5_0.001_5000_May03_17-55-15  |  0.1676816926220637  | 0.10015250615182893 | 0.08552433931921284 |
|  1024_10_0.5_0.001_20000_May03_18-04-29 | 0.25792264263004566  | 0.18721160168177192 | 0.17399394157375223 |
|  1024_10_0.5_0.001_50000_May03_18-21-01 | 0.33216072027251137  |  0.2925247359284162 | 0.27492961946904415 |
|   1024_10_1_0.001_5000_May03_18-54-40   | 0.15383609510093793  | 0.08702019639115623 | 0.07477313481926043 |
|   1024_10_1_0.001_20000_May03_19-02-51  |  0.1970622790297658  | 0.12383725952023555 | 0.11733283980230567 |
|   1024_10_1_0.001_50000_May03_19-22-36  | 0.26836327074064265  | 0.21555435612289348 | 0.20079576086494993 |
+-----------------------------------------+----------------------+---------------------+---------------------+
+-----------------------------------------+----------------------+----------------------+----------------------+
|                  Params                 | Mean Reciprocal Rank |  Average Precision   |    Recall By User    |
+-----------------------------------------+----------------------+----------------------+----------------------+
|  512_10_0.05_0.001_5000_May03_11-28-34  | 0.10425532666065011  | 0.03776117944319184  | 0.03641636026019434  |
|  512_10_0.05_0.001_20000_May03_11-36-51 | 0.12932756987275634  | 0.04375829658044056  | 0.04288978351486793  |
|  512_10_0.05_0.001_50000_May03_11-53-43 | 0.08433466405597988  | 0.025454909477347566 | 0.03308287694906279  |
|   512_10_0.1_0.001_5000_May03_12-29-39  |  0.1204371323679171  | 0.039786732510265814 | 0.038274752040663156 |
|  512_10_0.1_0.001_20000_May03_12-38-41  | 0.12840253997528914  | 0.044503151955973215 | 0.04259296274311075  |
|  512_10_0.1_0.001_50000_May03_12-56-54  | 0.056026488948340704 | 0.015419078196055746 | 0.022260463710519245 |
|   512_10_0.5_0.001_5000_May03_13-32-52  | 0.09860819786967076  | 0.03709957867424973  | 0.03469991626319427  |
|  512_10_0.5_0.001_20000_May03_13-42-25  | 0.14616324215353454  | 0.050625516554738716 | 0.049002243536785575 |
|  512_10_0.5_0.001_50000_May03_13-58-55  | 0.12859732346017314  | 0.04153389498014883  | 0.04128442611061712  |
|    512_10_1_0.001_5000_May03_14-36-13   | 0.13066522035383027  | 0.04660710330390283  |  0.0414540734524357  |
|   512_10_1_0.001_20000_May03_14-45-50   | 0.12443344949109826  | 0.04084854059167528  | 0.03916546268894803  |
|   512_10_1_0.001_50000_May03_15-03-45   |  0.1081300172182061  | 0.03335813583561263  | 0.03463773190804871  |
|  1024_10_0.05_0.001_5000_May03_15-38-21 | 0.11753547920857402  | 0.041944005468645594 | 0.03786511515884847  |
| 1024_10_0.05_0.001_20000_May03_15-49-00 | 0.13345727648457575  | 0.04088774220705335  | 0.040732672607894725 |
| 1024_10_0.05_0.001_50000_May03_16-06-12 | 0.08033303834984648  | 0.026035839793591354 | 0.03489437054772628  |
|  1024_10_0.1_0.001_5000_May03_16-43-59  | 0.12534641535380855  | 0.046058997666849885 | 0.04075846266685778  |
|  1024_10_0.1_0.001_20000_May03_16-54-36 | 0.15680382860365655  | 0.055861467500937366 | 0.05196559919574762  |
|  1024_10_0.1_0.001_50000_May03_17-14-09 | 0.041740657803892654 | 0.009567404350895065 | 0.013128473952437372 |
|  1024_10_0.5_0.001_5000_May03_17-55-15  | 0.12065115164131468  | 0.041141412321338826 | 0.038784303752425774 |
|  1024_10_0.5_0.001_20000_May03_18-04-29 |  0.1724512080051739  | 0.061077365673971706 | 0.05613937082175862  |
|  1024_10_0.5_0.001_50000_May03_18-21-01 | 0.11029320321481319  | 0.035479154224258756 | 0.039698477324396436 |
|   1024_10_1_0.001_5000_May03_18-54-40   | 0.13634278083921514  | 0.04931241912413356  | 0.04473337838357577  |
|   1024_10_1_0.001_20000_May03_19-02-51  | 0.14134215510189319  | 0.04721279355749173  | 0.04330179929616311  |
|   1024_10_1_0.001_50000_May03_19-22-36  |  0.1934210569057793  | 0.07296329899847313  | 0.06855229649394383  |
